N;K;count_it;start;end;result;mod
256;10;0;642833849173283;642833849194253;8.19;forward
256;10;1;642833849269044;642833849290153;8.25;forward
256;10;2;642833849299769;642833849320039;7.92;forward
256;10;3;642833849328669;642833849348968;7.93;forward
256;10;4;642833849356977;642833849377687;8.09;forward
256;10;5;642833849385816;642833849406084;7.92;forward
256;10;6;642833849414035;642833849434898;8.15;forward
256;10;7;642833849443376;642833849463666;7.93;forward
256;10;8;642833849471590;642833849492437;8.14;forward
256;10;9;642833849501283;642833849521614;7.94;forward
256;10;0;642833849529708;642833849550500;8.12;reverse
256;10;1;642833849559352;642833849581349;8.59;reverse
256;10;2;642833849589925;642833849610257;7.94;reverse
256;10;3;642833849618064;642833849638843;8.12;reverse
256;10;4;642833849646525;642833849666828;7.93;reverse
256;10;5;642833849674735;642833849695566;8.14;reverse
256;10;6;642833849703293;642833849723548;7.91;reverse
256;10;7;642833849731438;642833849752289;8.14;reverse
256;10;8;642833849760216;642833849780490;7.92;reverse
256;10;9;642833849788211;642833849809001;8.12;reverse
256;10;0;642833849829480;642833849849786;7.93;random
256;10;1;642833849858803;642833849879583;8.12;random
256;10;2;642833849887259;642833849907574;7.94;random
256;10;3;642833849915229;642833849936029;8.12;random
256;10;4;642833849947636;642833849968489;8.15;random
256;10;5;642833849976912;642833849997227;7.94;random
256;10;6;642833850003788;642833850024565;8.12;random
256;10;7;642833850032002;642833850052296;7.93;random
256;10;8;642833850059749;642833850080587;8.14;random
256;10;9;642833850088070;642833850108312;7.91;random
512;10;0;642833850142423;642833850184309;8.18;forward
512;10;1;642833850194299;642833850234863;7.92;forward
512;10;2;642833850244097;642833850284588;7.91;forward
512;10;3;642833850293844;642833850334861;8.01;forward
512;10;4;642833850344055;642833850384613;7.92;forward
512;10;5;642833850394375;642833850434851;7.91;forward
512;10;6;642833850443795;642833850484818;8.01;forward
512;10;7;642833850493809;642833850534362;7.92;forward
512;10;8;642833850543428;642833850584392;8.00;forward
512;10;9;642833850593902;642833850634446;7.92;forward
512;10;0;642833850644223;642833850685246;8.01;reverse
512;10;1;642833850695254;642833850735730;7.91;reverse
512;10;2;642833850745696;642833850786782;8.02;reverse
512;10;3;642833850796428;642833850836923;7.91;reverse
512;10;4;642833850846499;642833850887514;8.01;reverse
512;10;5;642833850897101;642833850937659;7.92;reverse
512;10;6;642833850947033;642833850988034;8.01;reverse
512;10;7;642833850997439;642833851037924;7.91;reverse
512;10;8;642833851047373;642833851088459;8.02;reverse
